file_name,doc_type,provider,model,input_tokens,output_tokens,cache_creation_tokens,cache_read_tokens,total_tokens,cost_usd,duration_ms,cascade_triggered,timestamp
BELSIL-CDM-3526-VP-TDS-en-2024.06.16.pdf,SDS,google,gemini-2.5-flash,2206,1265,0,0,3471,0.00109,16226,False,1770730645.136853
BELSIL® CDM 3526 VP ALKYL-MODIFIED SILICONE-SDS-en.pdf,SDS,google,gemini-2.5-flash,9355,3265,0,9125,21745,0.003704,32851,False,1770730680.515195
BELSIL® CDM 3526 VP SOLUBILITY AND COMPATIBILITY.pdf,Brochure,google,gemini-2.5-flash,2668,830,0,0,3498,0.000898,6796,False,1770730689.076756
