file_name,doc_type,provider,model,input_tokens,output_tokens,cache_creation_tokens,cache_read_tokens,total_tokens,cost_usd,duration_ms,cascade_triggered,timestamp
BELSIL-CDM-3526-VP-TDS-en-2024.06.16.pdf,SDS,google,gemini-2.5-flash,0,0,0,0,0,0.0,15561,False,1770730510.7657201
BELSIL® CDM 3526 VP ALKYL-MODIFIED SILICONE-SDS-en.pdf,SDS,google,gemini-2.5-flash,0,0,0,0,0,0.0,33879,False,1770730547.17569
BELSIL® CDM 3526 VP SOLUBILITY AND COMPATIBILITY.pdf,Brochure,google,gemini-2.5-flash,0,0,0,0,0,0.0,11883,False,1770730560.825162
