file_name,doc_type,provider,model,input_tokens,output_tokens,cache_creation_tokens,cache_read_tokens,total_tokens,cost_usd,duration_ms,cascade_triggered,timestamp
POWERSIL-INSULATOR-FINISH-TDS-en-2024.06.16.pdf,Brochure,google,gemini-2.5-flash,2936,1738,0,0,4674,0.001483,18611,False,1770748460.357056
POWERSIL® INSULATOR FINISH-SDS-en.pdf,SDS,google,gemini-2.5-flash,14492,3435,0,0,17927,0.004235,25759,False,1770748488.446163
POWERSIL PASTE AP-RPI-en.pdf,SDS,google,gemini-2.5-flash,2854,936,0,0,3790,0.00099,11246,False,1770748500.118152
POWERSIL PASTE AP-SDS-en.pdf,SDS,google,gemini-2.5-flash,7527,2912,0,0,10439,0.002876,19053,False,1770748520.294407
POWERSIL-PASTE-AP-TDS-en-2025.01.28.pdf,SDS,google,gemini-2.5-flash,2822,1325,0,0,4147,0.001218,20496,False,1770748541.283504
PRODUCT OVERVIEW POLYMER DISPERSIONS.pdf,Brochure,google,gemini-2.5-flash,11524,1229,0,0,12753,0.002466,27685,False,1770748570.8775449
SELF-LEVELING COMPOUNDS.pdf,Brochure,google,gemini-2.5-flash,5750,1478,0,0,7228,0.001749,24753,False,1770748597.777089
VINNAPAS-2012-E-TDS-en-2024.06.16.pdf,Brochure,google,gemini-2.5-flash,2781,2615,0,0,5396,0.001986,26580,False,1770748624.8866298
VINNAPAS® 2012 E-SDS-en.pdf,SDS,google,gemini-2.5-flash,9047,2440,0,0,11487,0.002821,24155,False,1770748650.393963
VINNAPAS-5010-N-KOR-TDS-en-2024.06.16.pdf,Brochure,google,gemini-2.5-flash,3031,2688,0,0,5719,0.002067,22597,False,1770748673.533747
VINNAPAS® 5010 N (KOR)-SDS-en.pdf,SDS,google,gemini-2.5-flash,7524,2442,0,0,9966,0.002594,26585,False,1770748701.234009
VINNAPAS-5044-N-ULS-TDS-en-2024.06.16.pdf,Brochure,google,gemini-2.5-flash,3011,2375,0,0,5386,0.001877,23664,False,1770748725.4283352
VINNAPAS® 5044 N (KOR)-SDS-en.pdf,SDS,google,gemini-2.5-flash,7892,3002,0,0,10894,0.002985,20612,False,1770748747.459975
VINNAPAS-5047-T-TDS-en-2024.06.16.pdf,Brochure,google,gemini-2.5-flash,2871,2079,0,0,4950,0.001678,20817,False,1770748768.815331
